id,text,category
146,the wardrobe door came off. Could someone help?,Carpenter
147,I would like to hire a welder. window grill is loose.,Welder
148,My problem is that the screen keeps flickering. I need a tv repair technician.,TV Repair Technician
149,Need urgent assistance because I need temporary security staff.,Security Guard
150,I'm looking for a skilled carpenter to fix the door.,Carpenter
151,Can anyone help me? broken floor tiles need replacing.,Tiler
152,Could someone recommend a reliable auto electrician? the car battery keeps dying.,Auto Electrician
153,the computer keeps restarting. Please help as soon as possible.,Computer Technician
154,I need a mobile phone technician because the battery drains quickly.,Mobile Phone Technician
155,Who can repair the roof for me?,Roofer
156,Need urgent help because rats are entering the house.,Pest Control
157,I'm looking for a reliable gardener.,Gardener
158,I'm searching for a reliable aluminum fabricator.,Aluminum Fabricator
159,Can anyone recommend an experienced glass installer?,Glass Installer
160,I need someone to clean every room.,House Cleaner
161,Please help because the air conditioner is not cooling.,AC Technician
162,I have a termite infestation. Looking for a qualified pest control.,Pest Control
163,I need professional help to repaint the room.,Painter
164,I'm looking for a skilled motorcycle mechanic to repair the bike.,Motorcycle Mechanic
165,our office needs cleaning. Looking for a reliable office cleaner.,Office Cleaner
166,Who can help? my tyre is punctured.,Tire Repair
167,I need a gardener because the lawn needs mowing.,Gardener
168,Can anyone recommend a good refrigerator technician?,Refrigerator Technician
169,bathroom tiles are broken. I need this fixed soon.,Tiler
170,I need someone to eliminate the infestation.,Pest Control
171,I'm experiencing a problem because refrigerator makes loud noise. I need a refrigerator technician.,Refrigerator Technician
172,Need urgent assistance because I need regular household assistance.,Domestic Helper
173,Need urgent help because aluminium window is bent.,Aluminum Fabricator
174,Can anyone recommend a good domestic helper?,Domestic Helper
175,I'm looking for a trusted welder. my metal gate is damaged.,Welder
176,Could someone please replace the tyre?,Tire Repair
177,damaged tyre. Can someone assist?,Tire Repair
178,Could someone help me to sanitize the workspace?,Office Cleaner
179,Looking for an experienced mason to build the wall.,Mason
180,I'm experiencing a problem because need childcare this evening. I need a babysitter.,Babysitter
181,Looking for an experienced welder to weld the frame.,Welder
182,I need a qualified babysitter to provide childcare.,Babysitter
183,I'm looking for a trusted car mechanic. my car won't start.,Car Mechanic
184,I need professional help to look after my child.,Babysitter
185,my phone won't charge. Looking for a qualified mobile phone technician.,Mobile Phone Technician
186,Please help because I need brick laying for a garage.,Mason
187,Could someone help me to provide childcare?,Babysitter
188,my garden needs maintenance. Please help as soon as possible.,Gardener
189,Who can help me? I need help with laundry.,Domestic Helper
190,Who can repair the computer for me?,Computer Technician
191,Who can help me? I need help with daily household chores.,Domestic Helper
192,I'm experiencing a problem because kitchen sink is leaking. I need a plumber.,Plumber
193,Can anyone recommend an experienced tv repair technician?,TV Repair Technician
194,I'm searching for a skilled computer technician because I need virus removal.,Computer Technician
195,Could someone please inspect the wiring?,Electrician
196,Who can help me? the alternator is faulty.,Auto Electrician
197,I need a cook because I need meal preparation assistance.,Cook
198,Please send a washing machine technician; washing machine won't spin.,Washing Machine Technician
199,I'm searching for a reliable computer technician.,Computer Technician
200,I'm searching for a reliable cctv technician.,CCTV Technician
201,Can anyone recommend an experienced security guard?,Security Guard
202,I'm looking for a reliable tiler.,Tiler
203,Looking for an experienced computer technician to fix the laptop.,Computer Technician
204,I need a motorcycle mechanic because the motorcycle loses power.,Motorcycle Mechanic
205,Please send a washing machine technician. the machine won't drain water.,Washing Machine Technician
206,I'm looking for a trusted ac technician. the AC needs servicing.,AC Technician
207,I need a computer technician because I think my PC has malware.,Computer Technician
208,I'm experiencing a problem because screen flickers constantly. I need a tv repair technician.,TV Repair Technician
209,Need urgent assistance because I need a small boundary wall built.,Mason
210,Could someone help me to replace the battery?,Mobile Phone Technician
211,Looking for an experienced elder caregiver to assist the senior.,Elder Caregiver
212,I'm looking for a reliable auto electrician.,Auto Electrician
213,Need professional assistance to replace the glass.,Glass Installer
214,I would like to hire a glass installer. window glass is shattered.,Glass Installer
215,Looking for an experienced gardener to maintain the garden.,Gardener
216,I've been dealing with this issue: I need a cook for a family event.,Cook
217,I need a welder because my metal gate is broken.,Welder
218,Can anyone help me? I need a caregiver for senior care.,Elder Caregiver
219,Looking for an experienced pest control to remove the pests.,Pest Control
220,I would like to hire a mobile phone technician because my phone screen is cracked.,Mobile Phone Technician
221,I need a mobile phone technician because my phone won't turn on.,Mobile Phone Technician
222,Can anyone recommend a reliable tv repair technician? the television won't turn on.,TV Repair Technician
223,roof sheets need replacing. Looking for a reliable roofer.,Roofer
224,the garden is full of weeds. Could someone help?,Gardener
225,Looking for an experienced welder to fix the gate.,Welder
226,Need urgent assistance because termites have spread through the furniture.,Pest Control
227,I would like to hire a mobile phone technician to repair the phone.,Mobile Phone Technician
228,I need meal preparation assistance. I need professional help.,Cook
229,metal gate is broken. Can someone assist?,Welder
230,Who can do cement finishing for me?,Mason
231,I need a qualified domestic helper to manage daily housework.,Domestic Helper
232,I would like to hire a tire repair. tyre puncture.,Tire Repair
233,My situation is urgent because I need a cook for a family event.,Cook
234,I would like to hire a painter because the ceiling paint is peeling.,Painter
235,I need a qualified carpenter to build wooden shelves.,Carpenter
236,Can anyone recommend an experienced painter?,Painter
237,Need urgent assistance because my house needs deep cleaning.,House Cleaner
238,Need expert assistance to repair the motorcycle.,Motorcycle Mechanic
239,I'm looking for a reliable babysitter.,Babysitter
240,kitchen wall tiles need installation. Looking for a qualified tiler.,Tiler
241,Looking for immediate assistance to weld the frame.,Welder
242,Need expert assistance to install CCTV cameras.,CCTV Technician
243,Need urgent assistance because I need meal preparation assistance.,Cook
244,Please send a mobile phone technician. my phone screen is cracked.,Mobile Phone Technician
245,I have a termite infestation. Looking for a qualified pest control.,Pest Control
246,I'm looking for a skilled electrician to repair the electrical fault.,Electrician
247,I'm looking for a skilled tv repair technician to inspect the television.,TV Repair Technician
248,Need urgent assistance because I need someone to look after my child.,Babysitter
249,Can anyone help me? I need brick laying for a new room.,Mason
250,I need someone to watch my child. I need this fixed as soon as possible.,Babysitter
251,the battery keeps going flat. I need this fixed soon.,Auto Electrician
252,Please send a elder caregiver; need a caregiver for an elderly person.,Elder Caregiver
253,Need urgent assistance because my phone screen is cracked.,Mobile Phone Technician
254,Please help because my phone battery drains quickly.,Mobile Phone Technician
255,I need someone to replace faulty switches.,Electrician
256,our office needs a thorough cleaning. I need this fixed as soon as possible.,Office Cleaner
257,Looking for someone who can repair the refrigerator.,Refrigerator Technician
258,Please send a cook; need a cook for a family gathering.,Cook
259,I'm having an issue because my tyre has a puncture.,Tire Repair
260,I want to repaint my office. Looking for a reliable painter.,Painter
261,I need a electrician because the lights keep flickering.,Electrician
262,I'm looking for a skilled pest control to carry out pest control.,Pest Control
263,the refrigerator is warm inside. I need this fixed soon.,Refrigerator Technician
264,Looking for an experienced cctv technician to install CCTV cameras.,CCTV Technician
265,desktop runs very slowly. Looking for an experienced computer technician.,Computer Technician
266,I need a professional motorcycle mechanic to service the bike.,Motorcycle Mechanic
267,I would like to hire a ac technician because the AC is leaking water.,AC Technician
268,Need urgent assistance because the computer keeps restarting.,Computer Technician
269,Need expert assistance to prepare meals.,Cook
270,I'm experiencing a problem because roof sheets are damaged. I need a roofer.,Roofer
271,need a caregiver for an elderly person. Looking for an experienced elder caregiver.,Elder Caregiver
272,my roof has started leaking. I need this fixed soon.,Roofer
273,I need guards for a private event. Could someone help?,Security Guard
274,Please send a cctv technician. I need security cameras set up.,CCTV Technician
275,I need an experienced domestic helper.,Domestic Helper
276,I need a carpenter because my cupboard door is loose.,Carpenter
277,Looking for an experienced computer technician to remove malware.,Computer Technician
278,Please send a gardener. my garden needs maintenance.,Gardener
279,Looking for an experienced carpenter to repair the furniture.,Carpenter
280,Please help because the toilet won't flush.,Plumber
281,Need urgent help because screen flickers constantly.,TV Repair Technician
282,I'm having an issue because I need an office partition.,Aluminum Fabricator
283,I need professional help to repair the vehicle.,Car Mechanic
284,Could someone recommend a reliable tv repair technician? the screen keeps flickering.,TV Repair Technician
285,the metal frame is cracked. Could someone help?,Welder
286,I'm looking for a reliable tire repair.,Tire Repair
287,I've been dealing with this issue: I need a tyre replacement.,Tire Repair
288,I'm looking for a skilled glass installer to install new glass.,Glass Installer
289,I need support for a senior family member. Looking for a reliable elder caregiver.,Elder Caregiver
290,Who can help me? the freezer is not freezing.,Refrigerator Technician
291,I want to repaint my shop. I need this fixed as soon as possible.,Painter
292,Please send a babysitter. I need someone to look after my child.,Babysitter
293,TV has no picture. Looking for an experienced tv repair technician.,TV Repair Technician
294,I need a house cleaner because my home needs deep cleaning.,House Cleaner
295,I'm having an issue because the alternator is faulty.,Auto Electrician
296,a water pipe has burst. Please help as soon as possible.,Plumber
297,I need a carpenter because the kitchen cabinet is broken.,Carpenter
298,Please send a security guard. I need security for my property.,Security Guard
299,need a new aluminium door. Looking for an experienced aluminum fabricator.,Aluminum Fabricator
300,Can anyone recommend an experienced tv repair technician?,TV Repair Technician
301,I'm having an issue because my air conditioner is not cooling.,AC Technician
302,I'm looking for a skilled motorcycle mechanic to service the bike.,Motorcycle Mechanic
303,My problem is that I need security cameras set up. I need a cctv technician.,CCTV Technician
304,Please help because I need a babysitter this weekend.,Babysitter
305,I'm looking for a reliable plumber.,Plumber
306,Need urgent assistance because the computer keeps restarting.,Computer Technician
307,I'm looking for a skilled plumber to repair the plumbing.,Plumber
308,I need a washing machine technician because the washing machine is leaking.,Washing Machine Technician
309,Who can help me? I need temporary security staff.,Security Guard
310,the headlights stopped working. I need this fixed soon.,Auto Electrician
311,the machine won't drain water. Could someone help?,Washing Machine Technician
312,Can anyone recommend a good tire repair?,Tire Repair
313,Can anyone recommend a good carpenter?,Carpenter
314,Please send a carpenter. my kitchen cabinet is loose.,Carpenter
315,I'm looking for a trusted refrigerator technician. my refrigerator is not cooling.,Refrigerator Technician
316,I need brick laying for a garage. Looking for a reliable mason.,Mason
317,I have a rat infestation. I need professional help.,Pest Control
318,Who is available to clean the office?,Office Cleaner
319,I'm searching for a skilled electrician because the circuit breaker keeps tripping.,Electrician
320,Need urgent assistance because I need additional CCTV cameras installed.,CCTV Technician
321,I'm searching for a reliable welder.,Welder
322,I would like to hire a carpenter.,Carpenter
323,I need professional help since I need a cook for daily meals.,Cook
324,Need urgent help because need a glass partition.,Glass Installer
325,Please send a domestic helper. I need assistance with daily chores.,Domestic Helper
326,I'm looking for a reliable aluminum fabricator.,Aluminum Fabricator
327,phone screen is cracked. Looking for an experienced mobile phone technician.,Mobile Phone Technician
328,I would like to hire a carpenter. wardrobe door is broken.,Carpenter
329,I need temporary security staff. Looking for a qualified security guard.,Security Guard
330,Please send a roofer. rainwater is coming through the roof.,Roofer
331,I need a professional motorcycle mechanic to service the bike.,Motorcycle Mechanic
332,Need urgent assistance because roof sheets are damaged.,Roofer
333,Looking for an experienced painter to paint the walls.,Painter
334,I'm experiencing a problem because elderly parent needs daily support. I need a elder caregiver.,Elder Caregiver
335,Can anyone recommend a reliable babysitter? I need a babysitter this evening.,Babysitter
336,Can anyone recommend a reliable mobile phone technician? the battery drains quickly.,Mobile Phone Technician
337,Need professional assistance to install new glass.,Glass Installer
338,need security for an event. Can someone assist?,Security Guard
339,Please help because I need an aluminium partition.,Aluminum Fabricator
340,Need someone reliable to maintain the garden.,Gardener
341,Need expert assistance to clean every room.,House Cleaner
342,I would like to hire a babysitter because I need a babysitter this evening.,Babysitter
343,I need a aluminum fabricator because I need an aluminium partition.,Aluminum Fabricator
344,Need urgent assistance because roof tiles are damaged.,Roofer
345,Please help because my metal gate is broken.,Welder
346,Could someone help me to take care of my child?,Babysitter
347,I'm looking for a reliable mason.,Mason
348,I'm looking for a reliable aluminum fabricator.,Aluminum Fabricator
349,I need a roofer because my roof is leaking.,Roofer
350,Who can manage household tasks for me?,Domestic Helper
351,Can a cook visit today? I need a cook for daily meals.,Cook
352,Please send a tire repair; damaged tyre.,Tire Repair
353,I'm experiencing a problem because bookshelf needs repair. I need a carpenter.,Carpenter
354,metal gate is broken. Looking for an experienced welder.,Welder
355,I need professional help since the workspace needs sanitizing.,Office Cleaner
356,Need urgent help because motorcycle won't start.,Motorcycle Mechanic
357,Need urgent assistance because my living room needs painting.,Painter
358,the bike engine is noisy. Looking for a qualified motorcycle mechanic.,Motorcycle Mechanic
359,I'm looking for a trusted elder caregiver. an elderly family member needs daily assistance.,Elder Caregiver
360,I need professional help since I need help with daily household chores.,Domestic Helper
361,Can anyone recommend a reliable auto electrician? the car battery keeps dying.,Auto Electrician
362,I would like to hire a elder caregiver.,Elder Caregiver
363,I'm looking for a skilled refrigerator technician to check the cooling system.,Refrigerator Technician
364,Could someone help me to repair the AC?,AC Technician
365,I would like to hire a mobile phone technician because my phone won't charge.,Mobile Phone Technician
366,Need urgent assistance because the window glass shattered.,Glass Installer
367,Can anyone recommend a good gardener?,Gardener
368,the gearbox makes noise. I need this fixed as soon as possible.,Car Mechanic
369,Please send a mason. cement around the steps is damaged.,Mason
370,Can anyone recommend a good washing machine technician?,Washing Machine Technician
371,I need a professional security guard to guard the premises.,Security Guard
372,I would like to hire a tiler because I need bathroom tiling.,Tiler
373,I need an office partition. Looking for a qualified aluminum fabricator.,Aluminum Fabricator
374,Need urgent help because toilet keeps overflowing.,Plumber
375,I'm experiencing a problem because damaged tyre. I need a tire repair.,Tire Repair
376,I would like to hire a tiler to retile the floor.,Tiler
377,Could someone please repair the vehicle wiring?,Auto Electrician
378,I need a professional washing machine technician to inspect the appliance.,Washing Machine Technician
379,the charging port is damaged. I need this fixed as soon as possible.,Mobile Phone Technician
380,Looking for an experienced washing machine technician to repair the washing machine.,Washing Machine Technician
381,Can anyone recommend an experienced tiler?,Tiler
382,my car won't start. I need this fixed soon.,Car Mechanic
383,I would like to hire a electrician to repair the wiring.,Electrician
384,Who is available to clean every room?,House Cleaner
385,I'm having an issue because I need a caregiver for senior care.,Elder Caregiver
386,Looking for someone who can maintain the garden.,Gardener
387,Who can fix the electrical fault for me?,Electrician
388,Please send a babysitter. I need a babysitter this evening.,Babysitter
389,Need urgent assistance because the machine won't drain water.,Washing Machine Technician
390,my roof has started leaking. I need this fixed soon.,Roofer
391,Please send a auto electrician. the car battery keeps dying.,Auto Electrician
392,I'm experiencing a problem because metal gate is broken. I need a welder.,Welder
393,I've been dealing with this issue: I need assistance with laundry.,Domestic Helper
394,Could someone please install new glass?,Glass Installer
395,Need expert assistance to diagnose the problem.,Computer Technician
396,I need a refrigerator technician because the fridge makes loud noises.,Refrigerator Technician
397,Please send a painter. paint is peeling from the ceiling.,Painter
398,I'm searching for a reliable motorcycle mechanic.,Motorcycle Mechanic
399,Please send a tire repair; flat tyre.,Tire Repair
400,Looking for an experienced aluminum fabricator to install aluminium fittings.,Aluminum Fabricator
401,I need a qualified elder caregiver to provide elderly care.,Elder Caregiver
402,I need professional help to provide elderly care.,Elder Caregiver
403,I would like to hire a tiler because broken floor tiles need replacing.,Tiler
404,Can a carpenter visit today? my wardrobe is broken.,Carpenter
405,Need urgent assistance because the battery drains quickly.,Mobile Phone Technician
406,my phone screen is cracked. Please help as soon as possible.,Mobile Phone Technician
407,Please send a roofer. roof tiles are damaged.,Roofer
408,Can a aluminum fabricator visit today? I need a new aluminium door.,Aluminum Fabricator
409,I'm looking for a reliable glass installer.,Glass Installer
410,the motorcycle loses power. I need this fixed as soon as possible.,Motorcycle Mechanic
411,the garden is full of weeds. Could someone help?,Gardener
412,I'm searching for a skilled tire repair because I have a flat tyre.,Tire Repair
413,I'm searching for a reliable house cleaner.,House Cleaner
414,Please help because the wooden gate is damaged.,Carpenter
415,I need someone to repair the washing machine.,Washing Machine Technician
416,I need a cook because I need daily meal preparation.,Cook
417,I would like to hire a computer technician because the computer keeps restarting.,Computer Technician
418,I need a cctv technician because my CCTV cameras are offline.,CCTV Technician
419,Who can help? my phone battery drains quickly.,Mobile Phone Technician
420,Looking for someone who can weld the frame.,Welder
421,Can anyone recommend a good tiler?,Tiler
422,Please arrange a welder. the steel fence needs welding.,Welder
423,the power sockets are faulty. I need this fixed soon.,Electrician
424,I need professional help to do a deep cleaning.,House Cleaner
425,Can a computer technician visit today? my desktop is very slow.,Computer Technician
426,Can anyone recommend a good computer technician?,Computer Technician
427,I need someone to sanitize the workspace.,Office Cleaner
428,Need expert assistance to replace the damaged pipe.,Plumber
429,I'm looking for a skilled glass installer to replace the glass.,Glass Installer
430,I'm having an issue because the machine stops during washing.,Washing Machine Technician
431,Who can clean all rooms for me?,House Cleaner
432,Looking for an experienced security guard to handle security.,Security Guard
433,Who can help me? there are cockroaches in my house.,Pest Control
434,my house needs a deep clean. I need this fixed as soon as possible.,House Cleaner
435,I need someone to check the battery.,Auto Electrician
436,Need urgent assistance because the power outlet is burnt.,Electrician
437,I would like to hire a motorcycle mechanic.,Motorcycle Mechanic
438,the fridge is warm inside. Could someone help?,Refrigerator Technician
439,Looking for immediate assistance to repair the plumbing.,Plumber
440,I would like to hire a mason. need brick laying for a room extension.,Mason
441,the television screen is blank. I need this fixed soon.,TV Repair Technician
442,Please send a glass installer. the glass partition is damaged.,Glass Installer
443,I need professional help since an elderly family member needs daily assistance.,Elder Caregiver
444,Please send a gardener. the garden is full of weeds.,Gardener
445,I'm searching for a reliable tv repair technician.,TV Repair Technician
446,I'm having an issue because my phone won't charge.,Mobile Phone Technician
447,I need a professional cctv technician to repair the CCTV system.,CCTV Technician
448,Please send a mobile phone technician. my phone screen is cracked.,Mobile Phone Technician
449,the computer keeps restarting. I need professional help.,Computer Technician
450,I'm looking for a skilled pest control to carry out pest control.,Pest Control
451,I need a ac technician because the AC is leaking water.,AC Technician
452,I need a professional glass installer to install glass panels.,Glass Installer
453,Need expert assistance to trim the trees.,Gardener
454,Please send a tv repair technician; TV has no picture.,TV Repair Technician
455,I need a plumber because the toilet is blocked.,Plumber
456,I need a pest control because I have a termite infestation.,Pest Control
457,my indicators stopped working. Could someone help?,Auto Electrician
458,I'm having an issue because I have a rat infestation.,Pest Control
459,Looking for an experienced house cleaner to clean the house.,House Cleaner
460,I'm looking for a skilled motorcycle mechanic to check the engine.,Motorcycle Mechanic
461,I need a tiler because I need bathroom tiling.,Tiler
462,my wooden door is damaged. I need professional help.,Carpenter
463,I would like to hire a house cleaner to do a deep cleaning.,House Cleaner
464,I need an experienced babysitter.,Babysitter
465,I need a plumber because the drain is blocked.,Plumber
466,I need a qualified office cleaner to sanitize the workspace.,Office Cleaner
467,I need a plumber because the drain is blocked.,Plumber
468,My situation is urgent because I need security cameras set up.,CCTV Technician
469,I'm searching for a skilled gardener because the trees need trimming.,Gardener
470,several floor tiles are cracked. Could someone help?,Tiler
471,I'm looking for a trusted refrigerator technician. my refrigerator is not cooling.,Refrigerator Technician
472,I would like to hire a tiler. bathroom tiles are cracked.,Tiler
473,Who can repair the AC for me?,AC Technician
474,I'm searching for a reliable cctv technician.,CCTV Technician
475,Can anyone recommend an experienced refrigerator technician?,Refrigerator Technician
476,water pipe is leaking. Looking for an experienced plumber.,Plumber
477,Can anyone help me? the machine stops during washing.,Washing Machine Technician
478,Can anyone recommend an experienced cctv technician?,CCTV Technician
479,I'm looking for a trusted motorcycle mechanic. my motorcycle needs servicing.,Motorcycle Mechanic
480,Who can help me? the vehicle is overheating.,Car Mechanic
481,our office needs a thorough cleaning. Could someone help?,Office Cleaner
482,Need urgent assistance because the gutters need repair.,Roofer
483,Please help because a steel frame needs welding.,Welder
484,Looking for an experienced plumber to fix the plumbing.,Plumber
485,I've been dealing with this issue: my wooden door is damaged.,Carpenter
486,Who can replace damaged tiles for me?,Tiler
487,I need a mason because the concrete steps are damaged.,Mason
488,Looking for immediate assistance to install new tiles.,Tiler
489,Need urgent assistance because the television won't turn on.,TV Repair Technician
490,Could someone help me to replace the glass?,Glass Installer
491,I would like to hire a tiler to replace the tiles.,Tiler
492,I'm looking for a skilled cctv technician to configure the security cameras.,CCTV Technician
